Train Sample,,,,,,,,,,,,,,,,,,,,
Decile,MIN SCORE,MAX SCORE,Bad#,Good#,Total,BAD RATE,BAD PERCENT,CUMU. BAD PERCENT,GOOD PERCENT,CUMU. GOOD PERCENT,KS,,,,,Random Model,Lift,Baseline,,
0,,,,,,,,0,,,,,,,,0,0,1,,
1,0.999421358,0.999848843,1598,0,1598,100.00%,19.96%,19.96%,0.00%,0.00%,19.96%,,,,,10%,2.00,1,,Few Checks
2,0.998945057,0.99942112,1597,0,1597,100.00%,19.94%,39.90%,0.00%,0.00%,39.90%,,,,,20%,1.99,1,,Both Training & Testing models should have similar pecentages of bads
3,0.997899175,0.998944938,1598,0,1598,100.00%,19.96%,59.85%,0.00%,0.00%,59.85%,,,,,30%,2.00,1,,Both of them should follow rank ordering(at least 5 or 6 deciels)
4,0.993575275,0.997897387,1597,0,1597,100.00%,19.94%,79.80%,0.00%,0.00%,79.80%,,,,,40%,1.99,1,,First two deciles should give >2 lift
5,0.529668331,0.993572354,1553,45,1598,97.18%,19.39%,99.19%,0.56%,0.56%,98.62%,,,,,50%,1.98,1,,KS Should come in first 5 deciles
6,0.01173508,0.529521167,65,1532,1597,4.07%,0.81%,100.00%,19.23%,19.79%,80.21%,,,,,60%,1.67,1,,
7,0.003170813,0.011676368,0,1598,1598,0.00%,0.00%,100.00%,20.06%,39.85%,60.15%,,,,,70%,1.43,1,,
8,0.001253937,0.003167161,0,1597,1597,0.00%,0.00%,100.00%,20.04%,59.89%,40.11%,,,,,80%,1.25,1,,
9,0.00055612,0.001253787,0,1598,1598,0.00%,0.00%,100.00%,20.06%,79.94%,20.06%,,,,,90%,1.11,1,,
10,0.000121348,0.000556027,0,1598,1598,0.00%,0.00%,100.00%,20.06%,100.00%,0.00%,,,,,100%,1.00,1,,
,,,"8,008","7,968","15,976",50%,,,,KS,98.62%,,,,,,,,,
,,,,,,,,,Kolmogorov?Smirnov test,,,,,,,,,,,
Val Sample,,,,,,,,,,,,,,,,,,,,
Decile,MIN SCORE,MAX SCORE,Bad#,Good#,Total,BAD RATE,BAD PERCENT,CUMU. BAD PERCENT,GOOD PERCENT,CUMU. GOOD PERCENT,KS,,,,,Random Model,Lift,Baseline,,
0,,,,,,,,0,,,,,,,,0,,1,,
1,0.999396443,0.999812424,400,0,400,100.00%,20.23%,20.23%,0.00%,0.00%,20.23%,,,,,10%,2.02,1,,
2,0.99886167,0.999392748,399,0,399,100.00%,20.18%,40.41%,0.00%,0.00%,40.41%,,,,,20%,2.02,1,,
3,0.997698724,0.998861313,399,0,399,100.00%,20.18%,60.60%,0.00%,0.00%,60.60%,,,,,30%,2.02,1,,
4,0.992035687,0.99769789,400,0,400,100.00%,20.23%,80.83%,0.00%,0.00%,80.83%,,,,,40%,2.02,1,,
5,0.398791432,0.991998851,359,40,399,89.97%,18.16%,98.99%,1.98%,1.98%,97.01%,,,,,50%,1.98,1,,
6,0.014634004,0.398674995,20,379,399,5.01%,1.01%,100.00%,18.79%,20.77%,79.23%,,,,,60%,1.67,1,,
7,0.003080425,0.014604124,0,400,400,0.00%,0.00%,100.00%,19.83%,40.60%,59.40%,,,,,70%,1.43,1,,
8,0.001234653,0.003075478,0,399,399,0.00%,0.00%,100.00%,19.78%,60.39%,39.61%,,,,,80%,1.25,1,,
9,0.000567168,0.001228012,0,399,399,0.00%,0.00%,100.00%,19.78%,80.17%,19.83%,,,,,90%,1.11,1,,
10,0.000137427,0.00056686,0,400,400,0.00%,0.00%,100.00%,19.83%,100.00%,0.00%,,,,,100%,1.00,1,,
,,,"1,977","2,017","3,994",,,,,KS,97.01%,,,,,,,,,
